student_id,name,email,phone,college,branch,cgpa,backlogs,internships_count,projects_count,skills,certifications,passout_year,gap_year,github_profile,linkedin_profile,city,state
STU00001,Zarna Goswami,imanne@example.net,0092345642,BVICAM Delhi,ME,7.65,0,1,1,Excel|R|C++|NLP,0,2024,0,1,1,Panipat,West Bengal
STU00002,Rachita Bakshi,harita66@example.com,+914015393004,IGDTUW,BCA,7.08,0,0,2,Excel|React|Machine Learning|Cloud AWS|Cloud Azure|Python,2,2024,0,1,0,Naihati,Haryana
STU00003,Abhimanyu Warrior,dashturvi@example.org,+915162145335,GGSIPU,IT,7.78,0,0,4,Data Analysis|Machine Learning|Java|Spring Boot|Excel,0,2024,1,1,0,Purnia,West Bengal
STU00004,Damyanti Sankar,gourdipta@example.net,+913982476164,DTU,BBA,8.57,0,2,3,SQL|Java|Excel|Cloud AWS,0,2025,1,1,1,Giridih,Haryana
STU00005,Ria Bose,bhattacharyyagaurang@example.com,7847691015,BVICAM Delhi,ME,6.99,0,1,2,SQL|Power BI|Excel|Spring Boot|Node.js|Tableau|R|NLP,1,2024,0,0,0,Ajmer,Punjab
STU00006,Nihal Sekhon,aradhana92@example.org,+911213145697,Bennett Univ,CE,6.99,0,0,5,Node.js|Cloud AWS|React|SQL,4,2025,0,1,1,Bidar,West Bengal
STU00007,Chavvi Dutta,jayaramandaksh@example.net,05065295128,GGSIPU,ECE,8.62,0,1,2,Node.js|SQL|Java|Cloud Azure|Spring Boot|Django|NLP,4,2024,0,1,1,Salem,Rajasthan
STU00008,Forum Gaba,kevinkeer@example.org,+916034102841,NSUT,CSE,7.89,0,1,5,C++|Machine Learning|NLP|Java|R|Tableau|SQL|Excel,4,2024,1,0,1,Vijayanagaram,UP
STU00009,Ishwar Dash,palansaksham@example.com,5360387775,Amity Noida,BBA,6.78,0,2,5,R|Data Analysis|Power BI|Machine Learning,0,2024,0,1,1,Pudukkottai,Tamil Nadu
STU00010,Triveni Hayre,fdutt@example.org,8682032564,Amity Noida,BBA,7.69,0,0,2,SQL|Node.js|Spring Boot,4,2024,0,1,1,Yamunanagar,West Bengal
STU00011,Charvi Sha,wom@example.com,0214694042,BVICAM Delhi,EEE,6.78,1,3,5,Deep Learning|Cloud AWS|Data Analysis|Excel|Machine Learning|React|Java|C++,4,2024,0,1,1,Jaipur,Delhi
STU00012,Gaurika Sahota,pminhas@example.net,8065874466,Amity Noida,EEE,6.78,0,1,1,Java|NLP|SQL,1,2024,0,1,1,Pimpri-Chinchwad,West Bengal
