customer_id,customer_name,email,phone,gender,age,city,state,registration_date,customer_segment,total_orders,lifetime_value,preferred_category,email_opt_in,loyalty_points
CUST000001,Arjun Bora,ekanivarma@example.org,3230451738,F,35,Narasaraopet,Delhi,2024-07-23,Regular,50,20057.54,Home & Kitchen,1,3619
CUST000002,Chanchal Vasa,aarnav04@example.com,+913782829236,Other,45,Mangalore,Delhi,2024-02-04,Regular,45,135637.32,Sports,1,3024
CUST000003,Ekbal Sarin,wridesh92@example.org,1919279334,Other,27,Anantapur,West Bengal,2024-04-07,Regular,20,55015.4,Electronics,0,1720
CUST000004,Turvi Nagar,nilimabhavsar@example.com,07950430867,M,60,Ballia,Maharashtra,2024-10-28,Regular,36,132678.14,Beauty,0,1266
CUST000005,Bina Khatri,avni39@example.net,01288700140,M,29,Rampur,West Bengal,2022-04-30,Regular,48,138710.85,Beauty,0,2032
CUST000006,Arunima Mital,fbhatti@example.org,08385034997,M,62,Belgaum,Maharashtra,2022-07-01,Regular,3,128859.69,Clothing,1,3770
CUST000007,Edhitha Bhandari,aachal44@example.org,6521997038,F,32,Bhopal,Tamil Nadu,2022-12-18,Regular,13,60070.66,Home & Kitchen,0,2286
CUST000008,Qushi Yogi,pallavi51@example.com,+915722167293,Other,50,Chinsurah,West Bengal,2022-12-21,Silver,35,50006.91,Electronics,1,2139
CUST000009,Tejas Devi,keeryashvi@example.com,+913019063077,Other,34,Bhilai,Delhi,2022-01-01,Regular,28,52180.22,Home & Kitchen,1,4189
CUST000010,Faqid Ganesh,caleb10@example.net,01657389571,F,54,Eluru,Tamil Nadu,2021-08-25,Regular,46,65690.6,Sports,0,4410
CUST000011,Nachiket Balakrishnan,venkateshreva@example.net,+917061388970,Other,65,Farrukhabad,Tamil Nadu,2024-11-07,Regular,5,142356.74,Home & Kitchen,1,1020
CUST000012,Jagvi Jain,ekanta47@example.org,+910392442464,Other,37,Korba,West Bengal,2022-09-08,Regular,45,44700.45,Clothing,1,3105
CUST000013,Luke Solanki,ramakrishnanchampak@example.com,+916797590506,Other,29,Thoothukudi,UP,2024-10-19,Regular,1,45929.3,Clothing,1,4751
CUST000014,Chasmum Hegde,inayavig@example.net,6552257681,Other,38,Bidar,Rajasthan,2024-05-27,Regular,44,32448.36,Beauty,0,1390
CUST000015,Dakshesh Borde,girish05@example.com,01926530593,M,36,Shimla,Gujarat,2024-09-11,Regular,49,35612.86,Home & Kitchen,1,1631
CUST000016,Robert Loyal,bhanumati08@example.com,02887439354,M,20,Haldia,Tamil Nadu,2021-10-29,Platinum,40,127535.79,Electronics,1,4715
CUST000017,Tanay Dua,pallavichana@example.com,+919312200215,Other,62,Silchar,West Bengal,2022-02-03,Regular,16,22561.92,Books & Stationery,1,873
CUST000018,Brijesh Nazareth,ishanvisabharwal@example.com,+915642245611,M,29,Thoothukudi,Rajasthan,2023-05-21,Regular,16,137661.77,Electronics,1,3806
CUST000019,Aadi Narang,anthony73@example.org,3179452121,Other,53,Rourkela,Gujarat,2024-09-29,Platinum,29,92091.52,Books & Stationery,0,3495
CUST000020,Shravya Atwal,abha65@example.com,2832160418,F,28,Bareilly,Rajasthan,2024-01-28,Regular,49,37462.34,Books & Stationery,1,4270
CUST000021,Rushil Virk,ekapadsehgal@example.org,5433909152,Other,33,Avadi,UP,2023-09-20,Regular,46,43216.36,Home & Kitchen,1,4424
CUST000022,Harrison Varty,krishnapadmanabhan@example.org,01260728763,M,27,Guntur,Tamil Nadu,2021-06-15,Regular,10,106109.66,Electronics,1,2710
CUST000023,Zansi Chand,ksandal@example.com,+917561668254,F,44,Secunderabad,Delhi,2024-01-17,Regular,27,58726.78,Sports,0,160
